Stkcd,other_receivables,fix_assets_net,intangible_assets_net,ttl_assets,ttl_current_assets,net_assets,total_liab,current_liab,year,retained_earnings
000016,410804180.5,2410226495.81,737776686.34,32985061889.03,21843297580.24,9451368310.79,23533693578.24,22675834245.9,2018,5498972977.4
000016,1772183366.49,2561254191.55,1213271713.22,42586955452.27,25422786872.67,9926697786.8,32660257665.47,22145831594.58,2019,5451484716.559999
000017,23467668.87,12970199.73,23728703.18,162649076.3,101935156.65,-1709390683.76,1872039760.06,1705826807.14,2012,-2747388416.6099997
000017,107395429.69,227824.37,5271000,151511429.85,146012605.48,7698773.18,143812656.67,143812656.67,2013,-1172164521.72
000017,511254.81,773961.84,4518000,51489647.55,46185688.63,13496106.07,37993541.48,37993541.48,2014,-1167278843.16
000017,395523.78,1007906.43,3765000,45869094.97,41007122.23,13390231.32,32478863.65,32478863.65,2015,-1167417198.74
000017,658754.09,3728955.11,3012000,54088275.72,46302124.32,17281811.05,36806464.67,36806464.67,2016,-1164813561.27
000017,659706.81,3941117.97,2259000,73559961.28,66218014.6,18860970.52,54698990.76,54698990.76,2017,-1163283974.0
000017,844537.19,3502807.32,1506000,73242960.17,66793531.67,16980464.74,56262495.43,56262495.43,2018,-1164875942.91
000017,740354.71,4191503.33,753000,62733602.58,56346517.09,11441583.09,51292019.49,51292019.49,2019,-1172062848.55
000018,260005,12416459,1860764,172002557,55048372,117478877,54523680,43397339,2012,-89569150
000018,311279,7191205,1820459,170502789,65418721,124581652,45921137,35049567,2013,-81354340
000018,135178,1327230,1780154,184418905,73866989,129524543,54894362,44125162,2014,-77063435
000018,239952886.11,43846215.63,9267746.33,4017462824.63,3785394163.49,1280543663.55,2736919161.08,2706763067.78,2015,839703077.4200001
000018,651012132.91,128483747.74,106203443.55,7986178961.63,7492413671.98,1830482872.59,6155696089.04,5328141459.75,2016,1313364940.09
000018,1674675360.28,174537150.56,127524445,11667845186.3,10073700847.79,2260166870.41,9407678315.89,8108137126.15,2017,1587497837.95
000018,2186223361.4,158746947.91,99921251.67,9603455934.89,8097716082.92,265568221.3,9337887713.59,8935435201.44,2018,-185171698.89999998
000019,22251167.26,160018803.58,198302445.47,1222994595.75,734830955.55,1006170660.52,216823935.23,208162570.98,2012,144805607.35999998
000019,22503883.61,308220725.48,205740916.53,1336638587.42,716814380.08,1011684693.18,324953894.24,309208732.34,2013,138287784.82999998
000019,24689122.83,397461013.05,196961086.8,1154612267.59,538695764.43,993638330.08,160973937.51,145335170.23,2014,151611605.26
000019,22019771.94,358418473.54,193057370.27,1060458757.46,446043901.44,957138009.09,103320748.37,88749326.34,2015,116355436.16
000019,22643449.94,333013767.86,195678353.58,1178543725.3,605614340.61,1049738562.86,128805162.44,114815830.78,2016,212976095.07999998
000019,23311599.67,313742404.72,187321246.43,1070386220.55,527918023.06,963153330.26,107232890.29,93125003.45,2017,91138918.05
000019,33803428.45,993136743.51,569997392.08,6468951793.87,4291234452.07,4337598831.58,2131352962.29,1485378330.77,2018,1597074397.54
000019,25758695.07,945042032.69,589167059.47,6775067275.86,4064555672.95,4623438130.99,2151629144.87,1182003644.92,2019,1845322681.6599998
000020,9563505.01,202743248.34,50538067.8,681645093.97,384120550.19,280181050.91,401464043.06,236315628.96,2012,-112477013.41999999
000020,9623767.78,195542067.03,49360979.93,731348499.86,441132413.34,273663649.47,457684850.39,292661638.58,2013,-118994414.86000001
000020,109094812.29,186438814.34,47866685.21,1162740984.93,887709872.81,281351269.74,881389715.19,293324131.38,2014,-111306794.59
000020,9312148.07,110607425.5,46372390.49,1154989593.34,960660485.24,313937229.7,841052363.64,283747951.83,2015,-115507640.19999999
000020,3934376.89,81544707.02,44878095.77,632475542.4,349728544.01,319698568.63,312776973.77,310172561.96,2016,-110049929.87
000020,4335729.72,83619842.39,43307316.37,629762731.38,348105150.77,320672978.02,309089753.36,309025342.36,2017,-109075520.47999999
000020,5777179.08,188083873.38,41815689.74,617090153.46,320250569.67,323968000.74,293122152.72,293057741.72,2018,-105780497.75999999
